cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
40,Caroline Hirt,caroline-hirt,"Fondatrice et directrice du Museum of Digital Art, Zurich",f-créatifs,Créatifs,Creatives,caroline_hirt.jpg,DR?,,40 ans,,f-plus-40,f-alemanique,f-femme,Développement durable,«L’art digital entre au musée» | https://www.letemps.ch/culture/lart-digital-entre-musee,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Caroline+Hirt”,https://ch.linkedin.com/in/caroline-hirt-00465814a/en,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-caroline-hirt.html
41,Klaus Hommels,klaus-hommels,"Fondateur Lakestar, Zurich",f-facilitateurs,Facilitateurs,Investors,klaus_hommels.jpg,DR?,,51 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Klaus+Hommels”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-klaus-hommels.html
42,Urs Hölzle,urs-holzle,"Ingénieur SVP, Google, Mountain View (Californie)",f-grandes-entreprises,Grandes entreprises,Expats,urs_hozle.jpg,© Jos Schmid,,55 ans,,f-plus-40,f-expat,f-homme,Services informatiques,«Urs Hölzle: «La Suisse est un pays crucial pour Google»» | https://www.letemps.ch/economie/urs-holzle-suisse-un-pays-crucial-google,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Urs+Hölzle”,https://www.linkedin.com/in/urs-hölzle-b3168365,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-urs-holzle.html
43,Frederic Jacobs,frederic-jacobs,"Security Engineer, Apple, Cupertino (Californie)",f-leaders,Leaders,Tech Leaders,frederic_jacobs.jpg,© David Wagnières,New,27 ans,,f-moins-40,f-expat,f-homme,Services informatiques,"«Frédéric Jacobs, les libertés digitales à tout prix» | https://www.letemps.ch/societe/frederic-jacobs-libertes-digitales-prix",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Frederic+Jacobs”,https://www.linkedin.com/in/fredericjacobs,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-frederic-jacobs.html
44,Gilles Jobin,gilles-jobin,"Chorégraphe de la Cie Gilles Jobin, Genève",f-créatifs,Créatifs,Creatives,gilles_jobin.jpg,© Keystone ,New,54 ans,,f-plus-40,f-romand,f-homme,Art,«L’odyssée pour géants de Gilles Jobin» | https://www.letemps.ch/culture/lodyssee-geants-gilles-jobin,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Gilles+Jobin”,https://fr.linkedin.com/company/cie-gilles-jobin,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-gilles-jobin.html
45,Frédéric Kaplan,frederic-kaplan,"Professeur d’humanités digitales, EPFL, Lausanne",f-chercheurs,Chercheurs,Researchers,frederic_kaplan.jpg,© Eddy Mottaz,New,44 ans,,f-plus-40,f-romand,f-homme,Recherche,«Frédéric Kaplan: «Genève a une chronologie particulière»» | https://www.letemps.ch/suisse/frederic-kaplan-geneve-une-chronologie-particuliere,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Frédéric+Kaplan”,https://ch.linkedin.com/in/frederickaplan,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-frederic-kaplan.html
46,Pascal Kaufmann,pascal-kaufmann,"Cofondateur et CEO de Starmind International, Küsnacht (ZH)",f-leaders,Leaders,Tech Leaders,pascal_kaufmann.jpg,© Daniel Kellenberger ,New,40 ans,,f-plus-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pascal+Kaufmann”,https://ch.linkedin.com/in/pascal-kaufmann-b2890246,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-pascal-kaufmann.html
47,André Kudelski,andre-kudelski,"Chef et copropriétaire du groupe Kudelski, Cheseaux (VD) et Phoenix (Arizona)",f-grandes-entreprises,Grandes entreprises,Corporates,andre_kudelski.jpg,© François Wavre|Lundi 13,,57 ans,,f-plus-40,f-romand,f-homme,Services informatiques,«André Kudelski: «Nous sommes en train de souffrir»» | https://www.letemps.ch/economie/andre-kudelski-sommes-train-souffrir,https://www.google.ch/search?q=site%3Awww.letemps.ch+“André+Kudelski”,https://ch.linkedin.com/in/andre-kudelski-17570,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-andre-kudelski.html
48,Cédric Köhler,cedric-kohler,"Managing Partner Creathor, Zurich et Bad Homburg (Allemagne)",f-facilitateurs,Facilitateurs,Investors,cedric_kohler.jpg,Creathor Ventures,,39 ans,,f-moins-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Cédric+Köhler”,https://www.linkedin.com/in/cedrickoehler/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-cedric-kohler.html
49,Sophie Lamparter,sophie-lamparter,"Cofondatrice de Dart 17, San Francisco",f-créatifs,Créatifs,Creatives,sophie_lamparter.jpg,DR?,New,41 ans,,f-plus-40,f-expat,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sophie+Lamparter”,https://www.linkedin.com/in/sophielamparter,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-sophie-lamparter.html
50,Moritz Lechner,moritz-lechner,"Fondateur et coprésident du conseil d’administration de Sensirion, Stäfa (ZH)",f-grandes-entreprises,Grandes entreprises,Corporates,moritz_lechner.jpg,DR?,,49 ans,,f-plus-40,f-alemanique,f-homme,Développement durable,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Moritz+Lechner”,https://at.linkedin.com/in/moritz-lechner-542543160,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-moritz-lechner.html
